"","raceE1","genderE1","turnoutE1","voteTE1","race","turnout","gender","weightx"
"75","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"76","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"77","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"78","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"79","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"80","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"81","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"82","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"83","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"84","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"85","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"86","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"87","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"88","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"89","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"90","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"91","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"92","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"93","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"94","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"95","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"96","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"97","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"98","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"99","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"100","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"101","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"102","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"103","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"104","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"105","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"106","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"107","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"108","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"109","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"110","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"111","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"112","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"113","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"114","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"115","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"116","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"117","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"118","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"119","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"120","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"121","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"122","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"123","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"124","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"125","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"126","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"127","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"128","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"129","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"130","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"131","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"132","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"133","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"134","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"135","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"136","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"137","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"138","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"139","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"140","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"141","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"142","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"143","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"144","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"145","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"146","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"147","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"148","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"149","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"150","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"151","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"152","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"153","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"154","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"155","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"156","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"157","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"158","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"159","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"160","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"161","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"162","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"163","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"164","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"165","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"166","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"167","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"168","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"169","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"170","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"171","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"172","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"173","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"174","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"175","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"176","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"177","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"178","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"179","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"180","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"181","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"182","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"183","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"184","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"185","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"186","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"187","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"188","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"189","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"190","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"191","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"192","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"193","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"194","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"195","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"196","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"197","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"198","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"199","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"200","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"201","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"202","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"203","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"204","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"205","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"206","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"207","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"208","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"209","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"210","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"211","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"212","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"213","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"214","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"215","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"216","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"217","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"218","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"219","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"220","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"221","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"222","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"223","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"224","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"225","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"226","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"227","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"228","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"229","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"230","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"231","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"232","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"233","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"234","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"235","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"236","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"237","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"238","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"239","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"240","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"241","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"242","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"243","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"244","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"245","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"246","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"247","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"248","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"249","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"250","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"251","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"252","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"253","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"254","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"255","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"256","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"257","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"258","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"259","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"260","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"261","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"262","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"263","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"264","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"265","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"266","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"267","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"268","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"269","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"270","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"271","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"272","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"273","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"274","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"275","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"276","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"277","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"278","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"279","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"280","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"281","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"282","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"283","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"284","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"285","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"286","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"287","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"288","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"289","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"290","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"291","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"292","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"293","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"294","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"295","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"296","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"297","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"298","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"299","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"300","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"301","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"302","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"303","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"304","Plurality group","Female","DNV","DNV","White","Nonvoter","Female",1
"305","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"306","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"307","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"308","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"309","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"310","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"311","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"312","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"313","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"314","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"315","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"316","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"317","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"318","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"319","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"320","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"321","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"322","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"323","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"324","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"325","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"326","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"327","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"328","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"329","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"330","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"331","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"332","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"333","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"334","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"335","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"336","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"337","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"338","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"339","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"340","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"341","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"342","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"343","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"344","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"345","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"346","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"347","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"348","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"349","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"350","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"351","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"352","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"353","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"354","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"355","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"356","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"357","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"358","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"359","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"360","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"361","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"362","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"363","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"364","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"365","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"366","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"367","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"368","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"369","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"370","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"371","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"372","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"373","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"374","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"375","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"376","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"377","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"378","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"379","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"380","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"381","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"382","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"383","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"384","Other minority","Female","Voted","Democrats","Non-white","Voter","Female",1
"385","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"386","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"387","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"388","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"389","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"390","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"391","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"392","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"393","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"394","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"395","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"396","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"397","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"398","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"399","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"400","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"401","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"402","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"403","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"404","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"405","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"406","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"407","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"408","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"409","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"410","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"411","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"412","MAR","Male","Voted","Democrats","Non-white","Voter","Male",1
"413","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"414","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"415","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"416","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"417","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"418","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"419","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"420","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"421","Other minority","Male","Voted","Democrats","Non-white","Voter","Male",1
"422","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"423","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"424","MAR","Female","Voted","Democrats","Non-white","Voter","Female",1
"425","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"426","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"427","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"428","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"429","Plurality group","Female","Voted","Democrats","White","Voter","Female",1
"430","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"431","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
"432","Plurality group","Male","Voted","Democrats","White","Voter","Male",1
